filmeId,nota_media,Drama,Documentary,Romance,Action,Adventure,IMAX,Horror,War,Musical,Sci-Fi,Fantasy,Animation,Film-Noir,Crime,Mystery,Children,Comedy,Western,Thriller,class
1,3.9209302325581397,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,1,0,0,184
3,3.2596153846153846,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,24
6,3.946078431372549,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,32
47,3.9753694581280787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,80
50,4.237745098039215,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,189
70,3.5090909090909093,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,142
101,3.782608695652174,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,257
110,4.031645569620253,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,152
151,3.5454545454545454,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,46
157,2.8636363636363638,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,236
163,3.5606060606060606,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,253
216,3.326530612244898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3
223,3.855769230769231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,83
231,3.0601503759398496,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,147
235,3.6785714285714284,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,128
260,4.231075697211155,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,252
296,4.197068403908795,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,30
316,3.375,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,252
333,3.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,83
349,3.6045454545454545,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,187
356,4.164133738601824,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,160
362,3.5294117647058822,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,143
367,3.1847133757961785,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,112
423,2.85,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,43
